Borough,Food_Scrap_Drop_Off_Site_Name,Latitude,Longitude,Location,NTAName,Serviced_by,Population,PlaceID,Rating
Brooklyn,Wyckoff Farmhouse Museum,40.6443977355957,-73.92073822021484,5816 Clarendon Rd,Rugby-Remsen Village,Wyckoff Farmhouse Museum,55326,ChIJ4VNMVbxcwokRpAMEViT03RM,4.5
Manhattan,OPEN FOR SEASON: Fort Washington Greenmarket,40.84215545654297,-73.94227600097656,"168th Street at Fort Washington,New York,NY 10032",Washington Heights South,GrowNYC,84438,ChIJ5Rjj85v2wokRQ9MRfJi-TS4,5
Manhattan,OPEN FOR SEASON: Morris- Jumel Community Garden,40.83577728271485,-73.93914031982422,455-457 West 162nd Street,Washington Heights South,Morris- Jumel Community Garden,84438,ChIJMRmcA4P2wokRjKMXGSjnhQ4,5
Manhattan,OPEN FOR SEASON: Morris- Jumel Community Garden,40.83577728271485,-73.93914031982422,455-457 West 162nd Street,Washington Heights South,Morris- Jumel Community Garden,84438,ChIJMRmcA4P2wokRjKMXGSjnhQ4,5
Manhattan,"OPENING JUNE 27: 175th Street Greenmarket (Closed Thursday, 7/4 - Independence Day)",40.845947265625,-73.93781280517578,"175th Street between Wadsworth Avenue and Broadway, New York, NY",Washington Heights South,GrowNYC,84438,ChIJ34A1vp_2wokRzHKVYembGcQ,0
Manhattan,Dorothy K. McGowan Memorial Garden,40.834022521972656,-73.9422607421875,513 West 158th Street,Washington Heights South,Dorothy K. McGowan Memorial Garden,84438,ChIJTeTstzv3wokRkcBHlE-uyP0,0
Manhattan,Dorothy K. McGowan Memorial Garden,40.834022521972656,-73.9422607421875,513 West 158th Street,Washington Heights South,Dorothy K. McGowan Memorial Garden,84438,ChIJTeTstzv3wokRkcBHlE-uyP0,0
Manhattan,157th Street,40.83406066894531,-73.94487762451172,"157th, Broadway, Riverside Drive (Ilka Tanya Payan Park)",Washington Heights South,GrowNYC,84438,ChIJHfwh04X2wokRWQQqiYl1nEk,4
Manhattan,DeColores Community Yard,40.72543716430664,-73.9797134399414,313 E 8th St,Lower East Side,Loisaida United Neighborhood Gardens (LUNGS),72957,ChIJJ_h3eXdZwokRiqbPXI7L23Q,5
Manhattan,CLOSED FOR SEASON: Peach Tree Garden,40.721675872802734,-73.98201751708984,236 East 2nd Street,Lower East Side,Peach Tree Garden,72957,ChIJMzcflnhZwokRrmeykmzrmAU,4.5
Manhattan,East River Park Compost Yard,40.71099472045898,-73.9790267944336,"East River Park Compost Park (coordinates: 40.711055, -73.978847)",Lower East Side,NYC Compost Project,72957,ChIJlQk4QNRbwokRBdTOTHYWgCA,5
Manhattan,OPENING JULY 1: Green Oasis Garden,40.724205017089844,-73.9774169921875,"368 East 8 Street, NY 10009",Lower East Side,Green Oasis Garden,72957,ChIJG2vGh_VZwokR_PUL7NxI0nM,0
Manhattan,CLOSED FOR SEASON: Carmen Pabon del Amanecer Community Garden,40.72445297241211,-73.97887420654297,115 Avenue C,Lower East Side,Carmen Pabon del Amanecer Community Garden,72957,ChIJzUW13XlZwokROeM0_T7VD4U,0
Manhattan,OPENING JULY 7: La Plaza Cultural Community Garden,40.72541427612305,-73.97862243652344,674 East 9th Street,Lower East Side,La Plaza Cultural Community Garden,72957,NA,0
Manhattan,Commuter Composting at East Broadway & Rutgers Street,40.714054107666016,-73.99018859863281,"East Broadway & Rutgers Street (SE corner), Manhattan",Lower East Side,NYC Compost Project,72957,ChIJg_jhnylawokR0n-s1CuXteI,5
Manhattan,LES Ecology Center Garden,40.724647521972656,-73.9796371459961,213 E. 7th St,Lower East Side,NYC Compost Project,72957,ChIJZ0CWp4JZwokRABX52bvJAn0,4.6
Manhattan,OPENING JULY 7: La Plaza Cultural Community Garden,40.72541427612305,-73.97862243652344,674 East 9th Street,Lower East Side,La Plaza Cultural Community Garden,72957,NA,0
Manhattan,CLOSED FOR SEASON: Carmen Pabon del Amanecer Community Garden,40.72445297241211,-73.97887420654297,115 Avenue C,Lower East Side,Carmen Pabon del Amanecer Community Garden,72957,ChIJzUW13XlZwokROeM0_T7VD4U,0
Manhattan,CLOSED FOR SEASON: Peach Tree Garden,40.721675872802734,-73.98201751708984,236 East 2nd Street,Lower East Side,Peach Tree Garden,72957,ChIJMzcflnhZwokRrmeykmzrmAU,4.5
Manhattan,Commuter Composting at Grand Street & Clinton Street,40.7159538269043,-73.98672485351562,"Grand Street & Clinton Street (SW corner), Manhattan",Lower East Side,NYC Compost Project,72957,ChIJRSoteCpawokRGGh7cFqUWJo,0
Manhattan,CLOSED FOR SEASON: Peach Tree Garden,40.721675872802734,-73.98201751708984,236 East 2nd Street,Lower East Side,Peach Tree Garden,72957,ChIJMzcflnhZwokRrmeykmzrmAU,4.5
Manhattan,Commuter Composting at Grand Street & Clinton Street,40.7159538269043,-73.98672485351562,"Grand Street & Clinton Street (SW corner), Manhattan",Lower East Side,NYC Compost Project,72957,ChIJRSoteCpawokRGGh7cFqUWJo,0
Bronx,Mary Mitchell Center,40.84494018554688,-73.88741302490234,"2007 Mapes Ave, Bronx 10460 at E 178th St",East Tremont,Mary Mitchell Center,43423,ChIJZ8AfJ4r0wokR3_hbFZakY7Q,3.9
Bronx,Mary Mitchell Center,40.84494018554688,-73.88741302490234,"2007 Mapes Ave, Bronx 10460 at E 178th St",East Tremont,Mary Mitchell Center,43423,ChIJZ8AfJ4r0wokR3_hbFZakY7Q,3.9
Bronx,Mary Mitchell Center,40.84494018554688,-73.88741302490234,"2007 Mapes Ave, Bronx 10460 at E 178th St",East Tremont,Mary Mitchell Center,43423,ChIJZ8AfJ4r0wokR3_hbFZakY7Q,3.9
Bronx,Mary Mitchell Center,40.84494018554688,-73.88741302490234,"2007 Mapes Ave, Bronx 10460 at E 178th St",East Tremont,Mary Mitchell Center,43423,ChIJZ8AfJ4r0wokR3_hbFZakY7Q,3.9
Bronx,Mary Mitchell Center,40.84494018554688,-73.88741302490234,"2007 Mapes Ave, Bronx 10460 at E 178th St",East Tremont,Mary Mitchell Center,43423,ChIJZ8AfJ4r0wokR3_hbFZakY7Q,3.9
Manhattan,B'nai Jeshurun Community House,40.790374755859375,-73.97599792480469,270 West 89th Street,Upper West Side,B'nai Jeshrun,132378,ChIJ__97xoNYwokRefagF4zd5zQ,0
Manhattan,B'nai Jeshurun Community House,40.790374755859375,-73.97599792480469,270 West 89th Street,Upper West Side,B'nai Jeshrun,132378,ChIJ__97xoNYwokRefagF4zd5zQ,0
Manhattan,97th Street Greenmarket,40.793556213378906,-73.9670181274414,"97th St between Columbus & Amsterdam, Manhattan",Upper West Side,GrowNYC,132378,ChIJfUQK8Xf3wokReg31qwDspQc,2.9
Manhattan,B'nai Jeshurun Community House,40.790374755859375,-73.97599792480469,270 West 89th Street,Upper West Side,B'nai Jeshrun,132378,ChIJ__97xoNYwokRefagF4zd5zQ,0
Manhattan,B'nai Jeshurun Community House,40.790374755859375,-73.97599792480469,270 West 89th Street,Upper West Side,B'nai Jeshrun,132378,ChIJ__97xoNYwokRefagF4zd5zQ,0
Manhattan,B'nai Jeshurun Community House,40.790374755859375,-73.97599792480469,270 West 89th Street,Upper West Side,B'nai Jeshrun,132378,ChIJ__97xoNYwokRefagF4zd5zQ,0
Manhattan,79th St Greenmarket,40.78195190429688,-73.97547912597656,Columbus Avenue and 79th Street,Upper West Side,GrowNYC,132378,ChIJH_8BGZZZwokReRKUY_AjnKc,0
Bronx,Lehman College,40.875587463378906,-73.89407348632812,Lehman Quad near Shuster Hall,Van Cortlandt Village,Serviced/Managed by Volunteers from Lehman College,50100,ChIJQ43TApzzwokRFIZDR6WQ6Mc,0
Bronx,Meg's Community Garden @ Dewitt Clinton High School Campus,40.88145065307617,-73.88664245605469,100 West Mosholu Parkway,Van Cortlandt Village,James Baldwin Outdoor Learning Center,50100,ChIJl083yQrzwokRt-qY3O_dFzw,3.4
Bronx,Meg's Community Garden @ Dewitt Clinton High School Campus,40.88145065307617,-73.88664245605469,100 West Mosholu Parkway,Van Cortlandt Village,James Baldwin Outdoor Learning Center,50100,ChIJl083yQrzwokRt-qY3O_dFzw,3.4
Manhattan,116th Street,40.798622131347656,-73.94161987304688,116th & Lexington Ave - NW Corner,East Harlem North,GrowNYC,58019,ChIJLddxqgj2wokRYq4WAcc35mE,3.6
Manhattan,Pleasant Village Community Garden,40.7966194152832,-73.93159484863281,342 Pleasant Ave.,East Harlem North,Pleasant Village Community Garden,58019,ChIJo1vzyPz1wokRtvdmpPGBezc,4.7
Manhattan,Lydia's Magic Garden,40.80008316040039,-73.94220733642578,"1665 Park Avenue, Manhattan 10035
between 117th and 118th Streets",East Harlem North,GrowNYC,58019,ChIJ--MtNA_2wokRkeA4yxpWDqw,4.8
Manhattan,Lydia's Magic Garden,40.80008316040039,-73.94220733642578,"1665 Park Avenue, Manhattan 10035
between 117th and 118th Streets",East Harlem North,GrowNYC,58019,ChIJ--MtNA_2wokRkeA4yxpWDqw,4.8
Manhattan,Uptown Grand Central Fresh Food Box,40.80505752563477,-73.93903350830078,"125th Street at Park Avenue, outside the Metro-North Station",East Harlem North,GrowNYC,58019,ChIJHxmurQv2wokRa9saL0J8BP4,3.8
Manhattan,Central Park North (110th St),40.79824447631836,-73.95246124267578,"110th, St. Nicholas, & Malcolm X - NW Corner (Public Plaza)",Central Harlem South,GrowNYC,43383,ChIJK1lPNxr2wokRAeEFQFvBItc,4.5
Manhattan,Garden of Love,40.80439758300781,-73.95604705810547,302 West 116 Street,Central Harlem South,Garden of Love,43383,ChIJ-eT3NI33wokRPZVsePvCyJk,0
Manhattan,FACES NY at 116th,40.80215835571289,-73.95074462890625,"114 West 116th, 10026",Central Harlem South,FACES NY,43383,ChIJNRgaEA32wokRuvwx3-HUgaw,4.2
Manhattan,Garden of Love,40.80439758300781,-73.95604705810547,302 West 116 Street,Central Harlem South,Garden of Love,43383,ChIJ-eT3NI33wokRPZVsePvCyJk,0
Manhattan,FACES NY at 115th,40.80193710327149,-73.95098876953125,"121 West 115th, 10026",Central Harlem South,FACES NY,43383,ChIJYQIe-hD2wokRfN97m5jPlbI,0
Manhattan,FACES NY at 115th,40.80193710327149,-73.95098876953125,"121 West 115th, 10026",Central Harlem South,FACES NY,43383,ChIJYQIe-hD2wokRfN97m5jPlbI,0
Manhattan,Garden of Love,40.80439758300781,-73.95604705810547,302 West 116 Street,Central Harlem South,Garden of Love,43383,ChIJ-eT3NI33wokRPZVsePvCyJk,0
Manhattan,FACES NY at 116th,40.80215835571289,-73.95074462890625,"114 West 116th, 10026",Central Harlem South,FACES NY,43383,ChIJNRgaEA32wokRuvwx3-HUgaw,4.2
Manhattan,Garden of Love,40.80439758300781,-73.95604705810547,302 West 116 Street,Central Harlem South,Garden of Love,43383,ChIJ-eT3NI33wokRPZVsePvCyJk,0
Brooklyn,UCC Youth Farm,40.66490936279297,-73.88672637939453,613 New Lots Avenue,East New York,East New York Farms!,91958,ChIJz0DOAqtdwokRt_8z4fOrAUs,0
Brooklyn,OPEN FOR SEASON: Pink Houses Community Farm,40.66829299926758,-73.86444091796875,1257 Loring Avenue,East New York,East New York Farms!,91958,ChIJ22Y69pddwokR5BJ8tuJCegw,0
Brooklyn,OPEN FOR SEASON: Essex Community Garden,40.68026351928711,-73.88298034667969,3030 Fulton Street,East New York,Essex Community Garden,91958,ChIJEz05dbZdwokRypvehucYKSY,4.3
Brooklyn,UCC Youth Farm,40.66490936279297,-73.88672637939453,613 New Lots Avenue,East New York,East New York Farms!,91958,ChIJz0DOAqtdwokRt_8z4fOrAUs,0
Brooklyn,OPEN FOR SEASON: Pink Houses Community Farm,40.66829299926758,-73.86444091796875,1257 Loring Avenue,East New York,East New York Farms!,91958,ChIJ22Y69pddwokR5BJ8tuJCegw,0
Manhattan,Harlem Grown,40.81380462646485,-73.94281768798828,118 W 134th St,Central Harlem North-Polo Grounds,Harlem Grown,75282,ChIJaeT3WnH2wokR0UZDC8AXpko,4.7
Manhattan,Harlem Grown,40.81380462646485,-73.94281768798828,118 W 134th St,Central Harlem North-Polo Grounds,Harlem Grown,75282,ChIJaeT3WnH2wokR0UZDC8AXpko,4.7
Manhattan,William B. Washington Memorial Garden,40.81139755249024,-73.9515151977539,321 West 126th Street,Central Harlem North-Polo Grounds,William B. Washington Memorial Garden,75282,ChIJG2gXcuH1wokRKh-aC8qNkqc,3.3
Manhattan,Harlem Grown,40.81380462646485,-73.94281768798828,118 W 134th St,Central Harlem North-Polo Grounds,Harlem Grown,75282,ChIJaeT3WnH2wokR0UZDC8AXpko,4.7
Manhattan,Harlem Grown,40.81380462646485,-73.94281768798828,118 W 134th St,Central Harlem North-Polo Grounds,Harlem Grown,75282,ChIJaeT3WnH2wokR0UZDC8AXpko,4.7
Manhattan,Harlem Grown,40.81380462646485,-73.94281768798828,118 W 134th St,Central Harlem North-Polo Grounds,Harlem Grown,75282,ChIJaeT3WnH2wokR0UZDC8AXpko,4.7
Manhattan,Harlem Grown,40.81380462646485,-73.94281768798828,118 W 134th St,Central Harlem North-Polo Grounds,Harlem Grown,75282,ChIJaeT3WnH2wokR0UZDC8AXpko,4.7
Manhattan,127 Street & Malcolm X Food Scrap Drop Off Site,40.80899429321289,-73.94377899169922,77 West 127th Street between Malcolm X Boulevard and 5th Ave,Central Harlem North-Polo Grounds,NYC Compost Project,75282,ChIJzQm-NfH3wokRyY7b9Q3mfjc,0
Manhattan,Harlem Grown,40.81380462646485,-73.94281768798828,118 W 134th St,Central Harlem North-Polo Grounds,Harlem Grown,75282,ChIJaeT3WnH2wokR0UZDC8AXpko,4.7
Staten Island,Compost Demonstration Site at Snug Harbor Cultural Center & Botanical Garden,40.64405059814453,-74.10175323486328,"Compost Demonstration Site at Snug Harbor Cultural Center & Botanical Garden
1000 Richmond Terrace",West New Brighton-New Brighton-St. George,NYC Compost Project,33551,NA,0
Staten Island,St. George Greenmarket,40.64158630371094,-74.07789611816406,"St Marks Pl & Hyatt St
Staten Island, NY 10301",West New Brighton-New Brighton-St. George,GrowNYC,33551,ChIJ9RNMOi1OwokRaRGRYoqcho8,4.6
Brooklyn,Red Hook Community Farm,40.67222595214844,-74.0110092163086,Otsego Street and Beard Street,Carroll Gardens-Columbia Street-Red Hook,NYC Compost Project,38353,ChIJSztnyY1awokRvUId9v_ifeE,0
Brooklyn,Carroll Gardens Greenmarket,40.6805419921875,-73.9946517944336,"Carroll St. btwn Smith & Court Sts, Brooklyn, NY 11231",Carroll Gardens-Columbia Street-Red Hook,GrowNYC,38353,ChIJ8cm7fldawokRtv6C_5oXhEM,4.5
Brooklyn,Red Hook Community Farm,40.67222595214844,-74.0110092163086,Otsego Street and Beard Street,Carroll Gardens-Columbia Street-Red Hook,NYC Compost Project,38353,ChIJSztnyY1awokRvUId9v_ifeE,0
Manhattan,The Brotherhood/Sister Sol,40.824302673339844,-73.95000457763672,512 West 143rd Street,Hamilton Heights,The Brotherhood/Sister Sol,48520,ChIJNxsng2T2wokRC9MfRwsOg1w,0
Manhattan,The Brotherhood/Sister Sol,40.824302673339844,-73.95000457763672,512 West 143rd Street,Hamilton Heights,The Brotherhood/Sister Sol,48520,ChIJNxsng2T2wokRC9MfRwsOg1w,0
Manhattan,145th Street,40.823646545410156,-73.94384765625,145th & Edgecombe Ave - NE Corner (Jackie Robinson Park Entrance),Hamilton Heights,GrowNYC,48520,ChIJydO1iXv2wokRaYSByYLZ8Rk,0
Manhattan,The Brotherhood/Sister Sol,40.824302673339844,-73.95000457763672,512 West 143rd Street,Hamilton Heights,The Brotherhood/Sister Sol,48520,ChIJNxsng2T2wokRC9MfRwsOg1w,0
Manhattan,The Brotherhood/Sister Sol,40.824302673339844,-73.95000457763672,512 West 143rd Street,Hamilton Heights,The Brotherhood/Sister Sol,48520,ChIJNxsng2T2wokRC9MfRwsOg1w,0
Manhattan,The Brotherhood/Sister Sol,40.824302673339844,-73.95000457763672,512 West 143rd Street,Hamilton Heights,The Brotherhood/Sister Sol,48520,ChIJNxsng2T2wokRC9MfRwsOg1w,0
Brooklyn,Scholes Street Children's Garden,40.70847702026367,-73.94430541992188,"134 Scholes St, Brooklyn, NY 11206",East Williamsburg,Scholes Street Children's Garden,34158,ChIJGXZupP1bwokRgckKS9aREv4,4
Brooklyn,Scholes Street Children's Garden,40.70847702026367,-73.94430541992188,"134 Scholes St, Brooklyn, NY 11206",East Williamsburg,Scholes Street Children's Garden,34158,ChIJGXZupP1bwokRgckKS9aREv4,4
Brooklyn,Scholes Street Children's Garden,40.70847702026367,-73.94430541992188,"134 Scholes St, Brooklyn, NY 11206",East Williamsburg,Scholes Street Children's Garden,34158,ChIJGXZupP1bwokRgckKS9aREv4,4
Bronx,PSS - Andrew Jackson Senior Center,40.82233047485352,-73.91825866699219,765 Courtlandt Avenue,Melrose South-Mott Haven North,PSS - Andrew Jackson Senior Center,39214,NA,0
Bronx,We Stay/Nos Quedamos,40.82114028930664,-73.91493225097656,754 Melrose Avenue,Melrose South-Mott Haven North,GrowNYC,39214,ChIJc2EpTMr1wokR_wadPY6r5es,0
Manhattan,Tribeca Greenmarket,40.71630096435547,-74.0109634399414,"Greenwich Street at Chambers Street,New York,NY",Battery Park City-Lower Manhattan,"GrowNYC, NYC Dept of Sanitation & Community Partners",39699,ChIJyXDckh5awokRH5efXZ4O3GU,0
Manhattan,Bowling Green Greenmarket,40.70471954345703,-74.0135269165039,"Broadway at Battery Place,New York,NY, 10004",Battery Park City-Lower Manhattan,GrowNYC,39699,ChIJKXQp3BNawokR6gUmnJXw58c,4.4
Manhattan,Tribeca Greenmarket,40.71630096435547,-74.0109634399414,"Greenwich Street at Chambers Street,New York,NY",Battery Park City-Lower Manhattan,"GrowNYC, NYC Dept of Sanitation & Community Partners",39699,ChIJyXDckh5awokRH5efXZ4O3GU,0
Manhattan,Mathews-Palmer Park,40.76139450073242,-73.99273681640625,437 W 45 St,Clinton,NYC Parks,45884,NA,0
Manhattan,OPEN FOR SEASON: 57th St Greenmarket,40.76911544799805,-73.98855590820312,10th Avenue & West 57th Street,Clinton,GrowNYC,45884,ChIJj13xY1lYwokRSKYr0q7Qcjo,0
Manhattan,Hudson River Park's Pier 84 at W. 44th St.,40.76311492919922,-73.99964904785156,Pier 84 at W. 44th St. near dog park,Clinton,Hudson River Park Trust,45884,ChIJa2H3uk5YwokR9OpMbK8KEps,0
Manhattan,OPEN FOR SEASON: 57th St Greenmarket,40.76911544799805,-73.98855590820312,10th Avenue & West 57th Street,Clinton,GrowNYC,45884,ChIJj13xY1lYwokRSKYr0q7Qcjo,0
Brooklyn,Iso Student Farm,40.66746520996094,-73.91048431396484,514 Rockaway Avenue,Brownsville,Isabahlia LOE Foundation,58300,ChIJ4TF3ul9cwokRJkvrmyI4TgI,0
Brooklyn,Iso Student Farm,40.66746520996094,-73.91048431396484,514 Rockaway Avenue,Brownsville,Isabahlia LOE Foundation,58300,ChIJ4TF3ul9cwokRJkvrmyI4TgI,0
Manhattan,Commuter Composting at 1st Ave and 1st St.,40.72293472290039,-73.98863983154297,First Avenue between Houston and First Street (West Side),Chinatown,NYC Compost Project,47844,ChIJhfzlZYRZwokRLsR-L1xQc4E,3.3
Manhattan,Commuter Composting at 1st Ave and 1st St.,40.72293472290039,-73.98863983154297,First Avenue between Houston and First Street (West Side),Chinatown,NYC Compost Project,47844,ChIJhfzlZYRZwokRLsR-L1xQc4E,3.3
Manhattan,OPEN FOR SEASON: M'Finda Kalunga Garden,40.72102737426758,-73.99150085449219,Rivington and Forsyth,Chinatown,M'Finda Kalunga Garden,47844,NA,0
Manhattan,Commuter Composting at 1st Ave and 1st St.,40.72293472290039,-73.98863983154297,First Avenue between Houston and First Street (West Side),Chinatown,NYC Compost Project,47844,ChIJhfzlZYRZwokRLsR-L1xQc4E,3.3
Bronx,The Point CDC,40.81822204589844,-73.89046478271484,940 Garrison Avenue,Hunts Point,The Point CDC,27204,ChIJqT0VXqr1wokRAjhW6GZkvqQ,4.7
Bronx,The Point CDC,40.81822204589844,-73.89046478271484,940 Garrison Avenue,Hunts Point,The Point CDC,27204,ChIJqT0VXqr1wokRAjhW6GZkvqQ,4.7
Bronx,Project H.O.P.E. Fresh Food Box,40.81808853149414,-73.88842010498047,854 Hunts Point Ave,Hunts Point,GrowNYC,27204,ChIJeT13hwD1wokRXsiMLft19v4,4.3
Bronx,The Point CDC,40.81822204589844,-73.89046478271484,940 Garrison Avenue,Hunts Point,The Point CDC,27204,ChIJqT0VXqr1wokRAjhW6GZkvqQ,4.7
Bronx,The Point CDC,40.81822204589844,-73.89046478271484,940 Garrison Avenue,Hunts Point,The Point CDC,27204,ChIJqT0VXqr1wokRAjhW6GZkvqQ,4.7
Bronx,The Point CDC,40.81822204589844,-73.89046478271484,940 Garrison Avenue,Hunts Point,The Point CDC,27204,ChIJqT0VXqr1wokRAjhW6GZkvqQ,4.7
Queens,Queens Botanical Garden Public Food Scrap Drop-Off,40.751731872558594,-73.83000183105469,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",Flushing,NYC Compost Project,72008,ChIJ_79rXG1gwokRdhYFm7t3ln8,0
Queens,Queens Botanical Garden Public Food Scrap Drop-Off,40.751731872558594,-73.83000183105469,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",Flushing,NYC Compost Project,72008,ChIJ_79rXG1gwokRdhYFm7t3ln8,0
Queens,OPEN FOR SEASON: Queens Botanical Garden DTE Farmers Market,40.75142288208008,-73.82733917236328,82 Dahlia Avenue,Flushing,Down to Earth Markets,72008,ChIJARaYHm1gwokRaaVRfNNpKQI,0
Queens,Queens Botanical Garden Public Food Scrap Drop-Off,40.751731872558594,-73.83000183105469,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",Flushing,NYC Compost Project,72008,ChIJ_79rXG1gwokRdhYFm7t3ln8,0
Queens,Queens Botanical Garden Public Food Scrap Drop-Off,40.751731872558594,-73.83000183105469,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",Flushing,NYC Compost Project,72008,ChIJ_79rXG1gwokRdhYFm7t3ln8,0
Queens,Queens Botanical Garden Public Food Scrap Drop-Off,40.751731872558594,-73.83000183105469,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",Flushing,NYC Compost Project,72008,ChIJ_79rXG1gwokRdhYFm7t3ln8,0
Queens,Queens Botanical Garden Public Food Scrap Drop-Off,40.751731872558594,-73.83000183105469,"Parking Garden at QBG
42-80 Crommelin Avenue, Flushing, NY 11355",Flushing,NYC Compost Project,72008,ChIJ_79rXG1gwokRdhYFm7t3ln8,0
Queens,JH Scraps,40.74986267089844,-73.89630126953125,35-20 69th Street,Jackson Heights,JH Scraps,108152,ChIJ8d2bSQRfwokRt1y1cK1lF0c,0
Queens,Jackson Heights Greenmarket,40.75343322753906,-73.88782501220703,34th Ave b/t 79th & 80th Sts,Jackson Heights,NYC Compost Project,108152,ChIJPYrtnKdfwokRNCYL_0OYcJA,0
Manhattan,OPEN FOR SEASON: Bryant Park,40.75417709350586,-73.9845962524414,6th Avenue and 41st Sreet,Midtown-Midtown South,Bryant Park Corporation,28630,ChIJs9pOwKpZwokR2VllObQvhOY,3.5
Manhattan,OPEN FOR SEASON: Bryant Park,40.75417709350586,-73.9845962524414,6th Avenue and 41st Sreet,Midtown-Midtown South,Bryant Park Corporation,28630,ChIJs9pOwKpZwokR2VllObQvhOY,3.5
Manhattan,OPEN FOR SEASON: Bryant Park,40.75417709350586,-73.9845962524414,6th Avenue and 41st Sreet,Midtown-Midtown South,Bryant Park Corporation,28630,ChIJs9pOwKpZwokR2VllObQvhOY,3.5
Manhattan,OPEN FOR SEASON: Bryant Park,40.75417709350586,-73.9845962524414,6th Avenue and 41st Sreet,Midtown-Midtown South,Bryant Park Corporation,28630,ChIJs9pOwKpZwokR2VllObQvhOY,3.5
Manhattan,OPEN FOR SEASON: Bryant Park,40.75417709350586,-73.9845962524414,6th Avenue and 41st Sreet,Midtown-Midtown South,Bryant Park Corporation,28630,ChIJs9pOwKpZwokR2VllObQvhOY,3.5
Manhattan,Abingdon Square Greenmarket,40.737548828125,-74.00482940673828,"West 12 Street and 8 Avenue,New York,NY,10014",West Village,GrowNYC,66880,ChIJs5fLaZVZwokRwTMnjZjpRng,3.8
Manhattan,Hudson River Park's Pier 51 at Horatio St.,40.73873519897461,-74.00961303710938,Pier 51 at Horatio St. near comfort station,West Village,Hudson River Park Trust,66880,ChIJmTxKhOpZwokRRV2b0kkArLQ,4
Manhattan,Christopher Street,40.73363494873047,-74.0027847290039,7th Avenue and Christopher St - SW Corner,West Village,NYC Compost Project,66880,ChIJK5zGeZRZwokRjEM4Qsnb7tI,3.9
Manhattan,Hudson River Park's Pier 40 at W. Houston St.,40.72911071777344,-74.01067352294922,Pier 40 at Houston St. near dog park,West Village,Hudson River Park Trust,66880,NA,0
Manhattan,"West Village (Closed Thursday, 7/4 - Independence Day)",40.73292922973633,-74.00006866455078,6th Avenue and Waverly Place - SE Corner,West Village,NYC Compost Project,66880,ChIJTbWiV5FZwokRsywIOc28k3Q,3.8
